,Symbol,Company Name
1254,AAKASH,Aakash Exploration Services Limited
1255,KAKATCEM,Kakatiya Cement Sugar & Industries Limited
1256,UMANGDAIRY,Umang Dairies Limited
1257,PRECOT,Precot Limited
1258,CLEDUCATE,CL Educate Limited
1259,RPPINFRA,R.P.P. Infra Projects Limited
1260,JHS,JHS Svendgaard Laboratories Limited
1261,JOCIL,Jocil Limited
1262,PONNIERODE,Ponni Sugars (Erode) Limited
1263,SIL,Standard Industries Limited
1264,IITL,Industrial Investment Trust Limited
1265,AUTOIND,Autoline Industries Limited
1266,KILITCH,Kilitch Drugs (India) Limited
1267,INDTERRAIN,Indian Terrain Fashions Limited
1268,20MICRONS,20 Microns Limited
1269,JMTAUTOLTD,JMT Auto Limited
1270,SKMEGGPROD,SKM Egg Products Export (India) Limited
1271,SEYAIND,Seya Industries Limited
1272,MAHASTEEL,Mahamaya Steel Industries Limited
1273,PASHUPATI,Pashupati Cotspin Limited
1274,LOVABLE,Lovable Lingerie Limited
1275,JBFIND,JBF Industries Limited
1276,CREATIVE,Creative Peripherals and Distribution Limited
1277,RUCHINFRA,Ruchi Infrastructure Limited
1278,COMPINFO,Compuage Infocom Limited
1279,TPLPLASTEH,TPL Plastech Limited
1280,PENTAGOLD,Penta Gold Limited
1281,IVC,IL&FS Investment Managers Limited
1282,PODDARHOUS,Poddar Housing and Development Limited
1283,AHLADA,Ahlada Engineers Limited
1284,RAMASTEEL,Rama Steel Tubes Limited
1285,TOUCHWOOD,Touchwood Entertainment Limited
1286,RHFL,Reliance Home Finance Limited
1287,VIPCLOTHNG,VIP Clothing Limited
1288,ASIANHOTNR,Asian Hotels (North) Limited
1289,SHYAMCENT,Shyam Century Ferrous Limited
1290,BETA,Beta Drugs Limited
1291,MGEL,Mangalam Global Enterprise Limited
1292,MOLDTECH,Mold-Tek Technologies Limited
1293,TCIDEVELOP,TCI Developers Limited
1294,SHRENIK,Shrenik Limited
1295,DRCSYSTEMS,DRC Systems India Limited
1296,ALPHAGEO,Alphageo (India) Limited
1297,SAKUMA,Sakuma Exports Limited
1298,SAKHTISUG,Sakthi Sugars Limited
1299,NOIDATOLL,Noida Toll Bridge Company Limited
1300,NDRAUTO,Ndr Auto Components Limited
1301,SMARTLINK,Smartlink Holdings Limited
1302,HUBTOWN,Hubtown Limited
1303,BPL,BPL Limited
